"CLASSIFICACAO","COMERCIO","CONDICAO_PAVIMENTO","ESTACIONAMENTO","FOTOGRAFIAS","ID","LATITUDE","LONGITUDE","NOTAS","PASSEIO","TRAFEGO_INTENSO"
"CYCLEPATH","NONE","REGULAR","NONE","2022-08-15-15-21-04-436","59","-25.4211023","-49.2458331","","NONE","NO"
"CYCLEPATH","NONE","REGULAR","NONE","2022-08-15-15-21-52-353","60","-25.421341","-49.2462384","f dallegrave","NONE","NO"
"CYCLEPATH","NONE","REGULAR","NONE","2022-08-15-15-22-26-915","61","-25.4214406","-49.2463553","acesso à ciclovia","ONE_SIDE","NO"
"CYCLEPATH","NONE","REGULAR","NONE","2022-08-15-15-22-53-290","62","-25.4214178","-49.2463634","","NONE","NO"
"CYCLEPATH","NONE","REGULAR","NONE","2022-08-15-15-23-08-979","63","-25.4217649","-49.2459645","","NONE","NO"
"CYCLEPATH","NONE","REGULAR","NONE","2022-08-15-15-23-37-159","64","-25.4218666","-49.2458442","","NONE","NO"
"CYCLEPATH","NONE","REGULAR","NONE","2022-08-15-15-23-56-831","65","-25.4219223","-49.2467542","","NONE","NO"
"CYCLEPATH","NONE","GOOD","NONE","2022-08-15-15-24-18-586","66","-25.4218402","-49.2458842","quase itupava","NONE","NO"
"CYCLEPATH","NONE","GOOD","NONE","2022-08-15-15-24-38-370","67","-25.4219536","-49.2462931","","NONE","NO"
"CYCLEPATH","NONE","REGULAR","NONE","2022-08-15-15-25-05-697","68","-25.4227828","-49.2471451","","NONE","NO"
"CYCLEPATH","NONE","BAD","NONE","2022-08-15-15-25-19-879","69","-25.4225937","-49.2476543","acesso informal Camões ","NONE","NO"
"CYCLEPATH","NONE","BAD","NONE","2022-08-15-15-25-59-282","70","-25.4225882","-49.247403","acesso Camões ","BOTH_SIDES","NO"
"CYCLEROUTE","NONE","GOOD","BOTH_SIDES","2022-08-15-15-26-18-170","71","-25.4225511","-49.2473804","rua Camões ","ONE_SIDE","NO"
"CYCLEROUTE","MEDIUM","GOOD","BOTH_SIDES","2022-08-15-15-27-37-702","73","-25.4225652","-49.2473909","praça ","ONE_SIDE","NO"
"CYCLEPATH","NONE","REGULAR","NONE","2022-08-15-15-28-57-346","74","-25.4229804","-49.2468709","pracinha","NONE","NO"
"CYCLEPATH","NONE","GOOD","NONE","2022-08-15-15-29-38-591","75","-25.4231319","-49.246965","travessia da R Itupava ","BOTH_SIDES","YES"
"CYCLEPATH","MEDIUM","GOOD","NONE","2022-08-15-15-30-23-846","76","-25.4231238","-49.2468983","pracinha","NONE","NO"
"CYCLEPATH","MEDIUM","GOOD","ONE_SIDE","2022-08-15-15-31-59-754","77","-25.422655","-49.247368","cruzamento Itupava ","BOTH_SIDES","NO"
"CYCLEPATH","MEDIUM","REGULAR","ONE_SIDE","2022-08-15-15-33-00-456","79","-25.4231937","-49.2470568","","ONE_SIDE","NO"
"CYCLEPATH","NONE","BAD","ONE_SIDE","2022-08-15-15-33-24-444","80","-25.423298","-49.2469451","","ONE_SIDE","NO"
"CYCLEPATH","NONE","REGULAR","ONE_SIDE","2022-08-15-15-33-54-523","81","-25.423362","-49.2476165","","ONE_SIDE","NO"
"CYCLEPATH","NONE","BAD","ONE_SIDE","2022-08-15-15-34-15-303","82","-25.423443","-49.2476922","","ONE_SIDE","NO"
"CYCLEPATH","NONE","REGULAR","ONE_SIDE","2022-08-15-15-34-50-429","83","-25.4236102","-49.2478476","","ONE_SIDE","NO"
"CYCLEPATH","NONE","BAD","ONE_SIDE","2022-08-15-15-36-20-377","85","-25.423848","-49.2480002","","ONE_SIDE","NO"
"CYCLEPATH","NONE","BAD","ONE_SIDE","2022-08-15-15-36-50-626","86","-25.4239058","-49.2479908","balanços ","ONE_SIDE","NO"
"CYCLEPATH","NONE","GOOD","ONE_SIDE","2022-08-15-15-37-19-357","87","-25.4238557","-49.2480529","quase Prof Brandão ","ONE_SIDE","NO"
"CYCLEPATH","NONE","BAD","ONE_SIDE","2022-08-15-15-37-44-560","88","-25.4239738","-49.248056","","ONE_SIDE","NO"
"CYCLEPATH","NONE","BAD","ONE_SIDE","2022-08-15-15-38-10-260","89","-25.4240082","-49.2479382","afloramento de raiz","ONE_SIDE","NO"
"CYCLEPATH","NONE","BAD","ONE_SIDE","2022-08-15-15-38-49-792","90","-25.4242194","-49.2482051","","ONE_SIDE","NO"
"CYCLEPATH","NONE","REGULAR","ONE_SIDE","2022-08-15-15-39-11-532","91","-25.4243131","-49.2486391","cruzamento prof Brandão ","ONE_SIDE","YES"
"CYCLEPATH","NONE","BAD","ONE_SIDE","2022-08-15-15-39-51-010","92","-25.424228","-49.2485146","caixa cedendo","ONE_SIDE","YES"
"CYCLEPATH","NONE","BAD","NONE","2022-08-15-15-40-21-739","93","-25.4243089","-49.2482738","prof Brandão ","BOTH_SIDES","YES"
"CYCLEPATH","MEDIUM","BAD","NONE","2022-08-15-15-41-05-314","94","-25.4242754","-49.2486744","prof Brandão ","BOTH_SIDES","YES"
"CYCLEPATH","NONE","BAD","NONE","2022-08-15-15-41-47-797","95","-25.4243221","-49.2480614","","NONE","YES"
"CYCLEPATH","MEDIUM","REGULAR","NONE","2022-08-15-15-42-01-312","96","-25.4247154","-49.248486","shopping ","NONE","NO"
"CYCLEPATH","NONE","BAD","NONE","2022-08-15-15-42-48-653","97","-25.4247765","-49.2485279","","ONE_SIDE","NO"
"CYCLEPATH","MEDIUM","REGULAR","NONE","2022-08-15-15-43-18-713","98","-25.4246336","-49.2489729","shopping ","ONE_SIDE","NO"
"CYCLEPATH","NONE","BAD","NONE","2022-08-15-15-44-12-298","100","-25.4245471","-49.249023","jardinete ","ONE_SIDE","YES"
"SHARED_PATH","NONE","BAD","NONE","2022-08-15-15-44-46-534","101","-25.4246257","-49.248985","","ONE_SIDE","YES"
"SHARED_PATH","NONE","GOOD","NONE","2022-08-15-15-45-35-906","102","-25.4252641","-49.2490625","jardinete ","BOTH_SIDES","YES"
"SHARED_PATH","NONE","BAD","NONE","2022-08-15-15-46-02-139","103","-25.4243726","-49.2487073","jardinete","BOTH_SIDES","YES"
"CYCLEPATH","NONE","BAD","NONE","2022-08-15-15-46-53-243","104","-25.4245324","-49.2487808","shopping ","ONE_SIDE","YES"
"CYCLEPATH","NONE","REGULAR","NONE","2022-08-15-15-47-24-879","105","-25.4253816","-49.2489895","","BOTH_SIDES","YES"
"CYCLEPATH","NONE","BAD","NONE","2022-08-15-15-47-47-796","106","-25.4253904","-49.2490174","","BOTH_SIDES","YES"
"CYCLEPATH","NONE","BAD","NONE","2022-08-15-15-48-13-065","107","-25.4255146","-49.2489446","","BOTH_SIDES","YES"
"CYCLEPATH","NONE","BAD","NONE","2022-08-15-15-48-34-119","108","-25.4257164","-49.2489476","","BOTH_SIDES","YES"
"CYCLEPATH","NONE","REGULAR","ONE_SIDE","2022-08-15-15-48-53-950","109","-25.4262446","-49.2487688","","BOTH_SIDES","YES"
"CYCLEPATH","NONE","REGULAR","NONE","2022-08-15-15-49-20-915","110","-25.4263237","-49.248473","ponto de ônibus ","BOTH_SIDES","NO"
"CYCLEPATH","NONE","REGULAR","NONE","2022-08-15-15-49-46-791","111","-25.4262196","-49.2484714","","BOTH_SIDES","YES"
